,school,type,address,city,county,zip,nurse,enrolled,dtap,polio,mmr,hepb,var,exempt_dtap,exempt_polio,exempt_mmr,exempt_hepb,exempt_var,year
0,91st Psalm Christian School,Private,2020 E. Baseline Rd.,Phoenix,Maricopa,85042.0,N,<20,,,,,,,,,,,2015
1,A.j.mitchell Elementary School,Public,855 N Bautista Ave.,Nogales,Santa Cruz,85621.0,Y,63,93.70%,96.80%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
2,Abraham Lincoln Traditional School,Public,10444 N 39th Ave.,Phoenix,Maricopa,85051.0,N,82,98.80%,98.80%,97.60%,98.80%,97.60%,1.20%,1.20%,2.40%,1.20%,1.20%,2015
3,Acacia Elementary School (Phoenix),Public,3021 W Evans Dr.,Phoenix,Maricopa,85053.0,N,119,95.00%,95.80%,95.80%,95.80%,87.40%,4.20%,4.20%,4.20%,4.20%,0.00%,2015
4,Acacia Elementary School (Vail),Charter,12955 East Colossal Cave Rd.,Vail,Pima,85641.0,N,117,94.00%,95.70%,97.40%,91.50%,91.50%,3.40%,2.60%,2.60%,5.10%,5.10%,2015
5,Academia Del Pueblo,Charter,113 W. Sherman St.,Phoenix,Maricopa,85003.0,N,54,100%,100%,100%,100%,79.60%,0.00%,0.00%,0.00%,0.00%,0.00%,2015
6,Academy Adventures Elementary School,Charter,3902 N Flowing Wells Rd.,Tucson,Pima,85718.0,N,<20,,,,,,,,,,,2015
7,Academy Adventures Midtown,Charter,3025 N. Winstel Blvd.,Tucson,Pima,85756.0,N,<20,,,,,,,,,,,2015
8,Academy Del Sol,Charter,7102 W  Valley Crest Pl.,Tucson,Pima,85757.0,N,108,99.10%,99.10%,99.10%,99.10%,99.10%,0.90%,0.90%,0.90%,0.90%,0.90%,2015
9,Academy Of Excellence,Charter,425 N. 36th St.,Phoenix,Maricopa,85008.0,N,<20,,,,,,,,,,,2015
10,Academy Of Math & Science (Camelback),Charter,6633 W. Camelback Rd.,Phoenix,Maricopa,85033.0,N,81,70.40%,69.10%,67.90%,81.50%,66.70%,1.20%,1.20%,1.20%,1.20%,1.20%,2015
11,Academy Of Math & Science (Flower),Charter,3335 W. Flower St.,Phoenix,Maricopa,85017.0,N,53,98.10%,98.10%,98.10%,98.10%,98.10%,1.90%,1.90%,1.90%,1.90%,1.90%,2015
