SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOLTYPE,ENROLLEDCOUNT,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
91ST PSALM CHRISTIAN SCHOOL,2020 E BASELINE RD,PHOENIX,MARICOPA,85042,NO,,PRIVATE,21,90%,10%,100%,90%,10%,100%,90%,10%,100%,86%,14%,100%,90%,10%,100%,14%,0%,10%
A J MITCHELL ELEMENTARY SCHOOL,855 N BAUTISTA ST,NOGALES,SANTA CRUZ,85621,YES,RN,PUBLIC,65,98%,0%,100%,98%,0%,100%,98%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ABIA JUDD ELEMENTARY SCHOOL,1749 WILLIAMSON VALLEY RD,PRESCOTT,YAVAPAI,86305,YES,RN,PUBLIC,97,93%,4%,97%,94%,4%,98%,93%,5%,98%,96%,4%,100%,94%,4%,98%,5%,1%,0%
ABRAHAM LINCOLN TRADITIONAL SCHOOL,10444 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,76,93%,7%,100%,93%,7%,100%,93%,7%,100%,95%,5%,100%,95%,5%,100%,7%,0%,7%
ACACIA ELEMENTARY SCHOOL,3021 W EVANS DR,PHOENIX,MARICOPA,85053,YES,RN,PUBLIC,116,97%,3%,100%,97%,3%,100%,97%,3%,100%,99%,1%,100%,98%,2%,100%,3%,0%,2%
ACACIA ELEMENTARY SCHOOL,12955 E COLOSSAL CAVE RD,VAIL,PIMA,85641,NO,,PUBLIC,110,95%,5%,100%,95%,5%,100%,95%,5%,100%,94%,6%,100%,95%,5%,100%,1%,0%,5%
ACADEMY ADVENTURES MIDTOWN,3025 N WINSTEL BLVD,TUCSON,PIMA,85716,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACADEMY DEL SOL,4525 E BROADWAY BLVD,TUCSON,PIMA,85705,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACADEMY DEL SOL - HOPE,7102 W VALLEY CREST PL,TUCSON,PIMA,85757,NO,,CHARTER,86,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ACADEMY OF MATH AND SCIENCE,1557 W PRINCE RD,TUCSON,PIMA,85705,NO,,CHARTER,62,98%,2%,100%,98%,2%,100%,100%,0%,100%,98%,2%,100%,100%,0%,100%,0%,2%,0%
ACADEMY OF MATH AND SCIENCE CAMELBACK,6633 W CAMELBACK RD,PHOENIX,MARICOPA,85033,NO,,CHARTER,112,91%,6%,100%,91%,6%,100%,91%,6%,100%,91%,6%,100%,91%,6%,97%,6%,0%,6%
ACADEMY OF MATHEMATICS AND SCIENCE SOUTH,3335 W FLOWER ST,PHOENIX,MARICOPA,85017,NO,,CHARTER,83,98%,1%,99%,96%,1%,99%,94%,4%,99%,98%,1%,99%,98%,1%,99%,4%,4%,4%
ACADEMY OF TUCSON ELEMENTARY SCHOOL,9209 E WRIGHTSTOWN RD,TUCSON,PIMA,85715,NO,,CHARTER,59,88%,7%,98%,92%,7%,98%,92%,5%,98%,92%,5%,98%,95%,3%,98%,7%,0%,3%
ACCELERATED LEARNING LABORATORY,5245 N CAMINO DE OESTE,TUCSON,PIMA,85745,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACCLAIM ACADEMY,7624 W INDIAN SCHOOL RD,PHOENIX,MARICOPA,85033,NO,,CHARTER,32,97%,3%,100%,100%,0%,100%,88%,0%,100%,97%,0%,100%,97%,3%,100%,3%,6%,3%
ACORN MONTESSORI CHARTER SCHOOL - WEST,7555 LONG LOOK DR,PRESCOTT VALLEY,YAVAPAI,86314,NO,,CHARTER,72,81%,19%,100%,86%,14%,100%,79%,21%,100%,93%,7%,100%,93%,7%,100%,22%,0%,6%
ADAMS ELEMENTARY SCHOOL,738 S LONGMORE,MESA,MARICOPA,85202,YES,RN,PUBLIC,100,93%,4%,100%,96%,2%,100%,97%,2%,100%,96%,3%,100%,98%,2%,100%,3%,1%,2%
ADAMS TRADITIONAL ACADEMY,2323 W PARKSIDE LN,PHOENIX,MARICOPA,85027,NO,,CHARTER,97,89%,11%,100%,89%,11%,100%,89%,11%,100%,92%,8%,100%,94%,6%,100%,11%,0%,11%
ADVANCE U,449 E SOUTHERN AVE,PHOENIX,MARICOPA,85040,NO,,CHARTER,22,86%,0%,100%,55%,0%,100%,50%,0%,100%,82%,0%,100%,86%,0%,86%,0%,0%,0%
AGUA CALIENTE SCHOOL,11420 E LIMBERLOST RD,TUCSON,PIMA,85749,YES,RN,PUBLIC,64,91%,6%,100%,91%,6%,100%,91%,6%,100%,91%,6%,100%,94%,6%,100%,6%,0%,6%
AGUILA ELEMENTARY SCHOOL,50023 N 51ST AVE,AGUILA,MARICOPA,85320,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGUILAR SCHOOL,5800 S FOREST AVE,TEMPE,MARICOPA,85283,YES,RN,PUBLIC,68,100%,0%,100%,100%,0%,100%,100%,0%,100%,99%,0%,100%,100%,0%,100%,0%,0%,0%
AHWATUKEE FOOTHILLS MONTESSORI CENTER,3221 EAST CHANDLER BOULEVARD,PHOENIX,MARICOPA,85048,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AIRE LIBRE ELEMENTARY SCHOOL,16428 N 21ST ST,PHOENIX,MARICOPA,85022,YES,RN,PUBLIC,48,92%,4%,100%,96%,4%,100%,92%,4%,100%,96%,4%,100%,96%,4%,100%,4%,0%,4%
AJO ELEMENTARY SCHOOL,111 WELL RD,AJO,PIMA,85321,NO,,PUBLIC,31,71%,0%,71%,77%,0%,77%,74%,0%,74%,97%,0%,97%,94%,0%,94%,0%,3%,0%
AKIMEL O'OTHAM PEE POSH,4 MI E OF HWY 87 ON BLACKWAT,COOLIDGE,PINAL,85128,YES,RN,CHARTER,73,99%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ALDEA MONTESSORI SCHOOL,15639 N 40TH ST,PHOENIX,MARICOPA,,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALFRED F GARCIA SCHOOL,1441 S 27TH AVE,PHOENIX,MARICOPA,85009,YES,LPN,PUBLIC,34,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ALHAMBRA TRADITIONAL SCHOOL,3736 W OSBORN RD,PHOENIX,MARICOPA,85019,NO,,PUBLIC,95,97%,3%,100%,95%,5%,100%,95%,5%,100%,94%,5%,100%,96%,4%,100%,6%,0%,4%
ALICE BYRNE ELEMENTARY SCHOOL,811 W 16TH ST,YUMA,YUMA,85364,NO,,PUBLIC,67,97%,1%,100%,97%,1%,100%,97%,1%,100%,97%,1%,100%,99%,1%,100%,1%,0%,1%
ALICE VAIL MIDDLE SCHOOL,5350 E 16TH ST,TUCSON,PIMA,85711,YES,RN,PUBLIC,70,90%,10%,100%,89%,11%,100%,90%,10%,100%,89%,11%,100%,90%,10%,100%,11%,11%,6%
ALL SAINTS CATHOLIC SCHOOL,1425 YAQUI ST,SIERRA VISTA,COCHISE,85650,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALL SAINTS EPISCOPAL DAY SCHOOL,6300 N CENTRAL AVE,PHOENIX,MARICOPA,85012,YES,RN,PRIVATE,48,94%,2%,100%,94%,2%,100%,96%,2%,98%,92%,4%,100%,98%,2%,100%,6%,0%,2%
ALPINE ELEMENTARY SCHOOL,COUNTY RD 2052,ALPINE,APACHE,85920,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALTA E BUTLER SCHOOL,3843 W ROOSEVELT RD,PHOENIX,MARICOPA,85009,YES,LPN,PUBLIC,110,95%,0%,100%,98%,0%,100%,99%,0%,100%,98%,0%,100%,89%,0%,89%,0%,0%,0%
ALTA LOMA SCHOOL,9750 N 87TH AVE,PEORIA,MARICOPA,85345,YES,RN,PUBLIC,83,95%,4%,99%,96%,4%,100%,93%,4%,96%,96%,4%,100%,95%,5%,100%,5%,1%,4%
ALTA VISTA ELEMENTARY SCHOOL,8710 N 31ST AVE,PHOENIX,MARICOPA,85051,YES,RN,PUBLIC,96,95%,1%,100%,95%,2%,100%,98%,2%,100%,98%,1%,100%,99%,1%,100%,1%,1%,1%
