SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
91st Psalm Christian School,Private,2020 E. Baseline Rd.,Phoenix,Maricopa,85042,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A.j.mitchell Elementary School,Public,855 N Bautista Ave.,Nogales,Santa Cruz,85621,Y,RN,63,93.70%,0.00%,93.70%,96.80%,0.00%,96.80%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%
Abraham Lincoln Traditional School,Public,10444 N 39th Ave.,Phoenix,Maricopa,85051,N,,82,98.80%,1.20%,100%,98.80%,1.20%,100%,97.60%,2.40%,100%,98.80%,1.20%,100%,97.60%,1.20%,100%,1.20%,0.00%,0.00%
Acacia Elementary School (Phoenix),Public,3021 W Evans Dr.,Phoenix,Maricopa,85053,N,,119,95.00%,4.20%,99.20%,95.80%,4.20%,100%,95.80%,4.20%,100%,95.80%,4.20%,100%,87.40%,0.00%,100%,4.20%,0.00%,4.20%
Acacia Elementary School (Vail),Charter,12955 East Colossal Cave Rd.,Vail,Pima,85641,N,,117,94.00%,3.40%,97.40%,95.70%,2.60%,98.30%,97.40%,2.60%,100%,91.50%,5.10%,96.60%,91.50%,5.10%,100%,5.10%,0.00%,2.60%
Academia Del Pueblo,Charter,113 W. Sherman St.,Phoenix,Maricopa,85003,N,,54,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,79.60%,0.00%,100%,0.00%,0.00%,0.00%
Academy Adventures Elementary School,Charter,3902 N Flowing Wells Rd.,Tucson,Pima,85718,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Academy Adventures Midtown,Charter,3025 N. Winstel Blvd.,Tucson,Pima,85756,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Academy Del Sol,Charter,7102 W  Valley Crest Pl.,Tucson,Pima,85757,N,,108,99.10%,0.90%,100%,99.10%,0.90%,100%,99.10%,0.90%,100%,99.10%,0.90%,100%,99.10%,0.90%,100%,0.90%,0.00%,0.90%
Academy Of Excellence,Charter,425 N. 36th St.,Phoenix,Maricopa,85008,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Academy Of Math & Science (Camelback),Charter,6633 W. Camelback Rd.,Phoenix,Maricopa,85033,N,,81,70.40%,1.20%,71.60%,69.10%,1.20%,70.40%,67.90%,1.20%,69.10%,81.50%,1.20%,82.70%,66.70%,1.20%,70.40%,1.20%,0.00%,1.20%
Academy Of Math & Science (Flower),Charter,3335 W. Flower St.,Phoenix,Maricopa,85017,N,,53,98.10%,1.90%,100%,98.10%,1.90%,100%,98.10%,1.90%,100%,98.10%,1.90%,100%,98.10%,1.90%,100%,1.90%,0.00%,0.00%
Academy Of Math And Science (Tucson),Charter,1557 W Prince Rd.,Tucson,Pima,85705,N,,69,98.60%,1.40%,100%,98.60%,1.40%,100%,98.60%,1.40%,100%,98.60%,1.40%,100%,98.60%,1.40%,100%,1.40%,0.00%,0.00%
Academy Of Tucson Elementary School,Charter,9209 E. Wrightstown Rd.,Tucson,Pima,85715,N,,64,95.30%,0.00%,95.30%,100%,0.00%,100%,96.90%,0.00%,96.90%,100%,0.00%,100%,96.90%,0.00%,100%,0.00%,0.00%,0.00%
Accelerated Learning Laboratory,Charter,5245 N Camino De Oeste,Tucson,Pima,85745,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Acclaim Academy,Charter,7624 W Indian School Rd.,Phoenix,Maricopa,85033,N,,46,84.80%,0.00%,84.80%,82.60%,0.00%,82.60%,80.40%,0.00%,80.40%,87.00%,0.00%,87.00%,80.40%,0.00%,93.50%,0.00%,0.00%,0.00%
Acorn Montessori,Charter,7555 E Long Look Dr.,Prescott Valley,Yavapai,86314,N,,64,84.40%,15.60%,100%,89.10%,10.90%,100%,84.40%,15.60%,100%,93.80%,6.30%,100%,79.70%,6.30%,100%,17.20%,0.00%,0.00%
Adams Elementary School,Public,738 S Longmore Ave. ,Mesa,Maricopa,85202,Y,RN,114,96.50%,0.90%,97.40%,99.10%,0.90%,100%,98.20%,1.80%,100%,99.10%,0.00%,99.10%,93.00%,0.00%,100%,1.80%,0.00%,0.00%
Adams Traditional Academy,Charter,2323 W. Parkside Ln.,Phoenix,Maricopa,85027,N,,140,91.40%,8.60%,100%,91.40%,8.60%,100%,91.40%,8.60%,100%,91.40%,8.60%,100%,72.10%,8.60%,100%,7.90%,0.70%,7.90%
Adobe Montessori School Kindergarten,Private,64000 West Del Rio St.,Chandler,Maricopa,85226,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Advance U,Charter,449 E Southern Ave.,Phoenix,Maricopa,85040,N,,24,75.00%,25.00%,100%,87.50%,12.50%,100%,79.20%,20.80%,100%,95.80%,4.20%,100%,54.20%,16.70%,100%,41.70%,0.00%,41.70%
