SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE TDAP,% EXEMPT TDAP,% COMPLIANCE TDAP,% IMMUNE MCV4,% EXEMPT MCV4,% COMPLIANCE MCV4,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
91ST PSALM CHRISTIAN SCHOOL,2020 E BASELINE RD,PHOENIX,MARICOPA,85042,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ABIA JUDD ELEMENTARY SCHOOL,1749 WILLIAMSON VALLEY RD,PRESCOTT,YAVAPAI,86305,YES,RN,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ABRAHAM LINCOLN TRADITIONAL SCHOOL,10444 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,83,100%,0%,100%,98%,2%,100%,98%,2%,100%,99%,1%,100%,99%,1%,100%,100%,0%,100%,99%,1%,100%,6%,0%,0%
ACACIA ELEMENTARY SCHOOL,3021 W EVANS DR,PHOENIX,MARICOPA,85053,YES,RN,PUBLIC,126,95%,5%,100%,93%,6%,98%,93%,6%,98%,97%,3%,100%,96%,4%,100%,97%,3%,100%,96%,4%,100%,8%,0%,3%
ACADEMY DEL SOL,4525 E BROADWAY BLVD,TUCSON,PIMA,85705,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACADEMY OF MATH AND SCIENCE,1557 W PRINCE RD,TUCSON,PIMA,85705,NO,,CHARTER,52,98%,2%,100%,94%,4%,100%,94%,4%,100%,94%,6%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,6%,0%,2%
ACADEMY OF MATH AND SCIENCE - DESERT SKY,5701 W MCDOWELL RD,PHOENIX,MARICOPA,85035,NO,,CHARTER,104,99%,0%,99%,97%,0%,99%,96%,0%,98%,99%,0%,99%,99%,0%,99%,99%,0%,99%,99%,0%,99%,0%,0%,0%
ACADEMY OF MATH AND SCIENCE CAMELBACK,6633 W CAMELBACK RD,PHOENIX,MARICOPA,85033,NO,,CHARTER,122,100%,0%,100%,96%,2%,98%,96%,2%,98%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,2%,0%,0%
ACADEMY OF MATHEMATICS AND SCIENCE SOUTH,3335 W FLOWER ST,PHOENIX,MARICOPA,85017,NO,,CHARTER,60,100%,0%,100%,100%,0%,100%,85%,0%,100%,98%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ACADEMY OF TUCSON MIDDLE SCHOOL,7310 E 22ND STREET,TUCSON,PIMA,85710,NO,,CHARTER,74,95%,4%,100%,89%,5%,96%,86%,7%,95%,95%,4%,99%,96%,4%,100%,95%,5%,100%,96%,4%,100%,7%,0%,4%
ACCEL - EAST CAMPUS,1430 E BASELINE RD,TEMPE,MARICOPA,85283,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACCEL - METRO CAMPUS (LATCH SCHOOL),10251 N 35TH AVE,PHOENIX,MARICOPA,85051,YES,LPN,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACCELERATED LEARNING LABORATORY,5245 N CAMINO DE OESTE,TUCSON,PIMA,85745,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACCLAIM ACADEMY,7624 W INDIAN SCHOOL RD,PHOENIX,MARICOPA,85033,NO,,CHARTER,49,96%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,98%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ACORN MONTESSORI MIDDLE SCHOOL,8456 E LOOS DR,PRESCOTT VALLEY,YAVAPAI,86314,NO,,CHARTER,47,98%,2%,100%,62%,34%,98%,62%,34%,98%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,36%,0%,2%
