SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MVMVC,PCT_EXEMPT_MVMVC,PCT_COMPLIANCE_MVMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL,Column1
91st Psalm Christian School,Private,2020 E. Baseline Rd. ,Phoenix,Maricopa,85042,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Abraham Lincoln Traditional School,Public,10444 N 39th Ave.,Phoenix,Maricopa,85051,N,,60,98.30%,1.70%,100%,98.30%,1.70%,100%,98.30%,1.70%,100%,98.30%,1.70%,100%,98.30%,1.70%,100%,98.30%,1.70%,100%,81.70%,0.00%,100%,1.70%,0.00%,0.00%,
Acacia Elementary School,Public,3021 W Evans Dr.,Phoenix,Maricopa,85053,N,,91,100%,0.00%,100%,98.90%,0.00%,100%,98.90%,0.00%,100%,97.80%,2.20%,100%,97.80%,2.20%,100%,100%,0.00%,100%,96.70%,0.00%,100%,3.30%,0.00%,3.30%,
Academia Del Pueblo,Charter,113 W. Sherman St.,Phoenix,Maricopa,85003,N,,39,97.40%,2.60%,100%,89.70%,2.60%,100%,94.90%,2.60%,100%,97.40%,2.60%,100%,97.40%,2.60%,100%,97.40%,2.60%,100%,89.70%,2.60%,100%,2.60%,0.00%,0.00%,
Academy Del Sol,Charter,7102 W  Valley Crest Pl.,Tucson,Pima,85757,N,,59,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%,
Academy Of Excellence,Charter,425 N. 36th St. ,Phoenix,Maricopa,85008,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Academy Of Math & Science,Charter,3335 W. Flower St. ,Phoenix,Maricopa,85017,N,,34,100%,0.00%,100%,100%,0.00%,100%,97.10%,2.90%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,97.10%,0.00%,100%,2.90%,0.00%,0.00%,
Academy Of Math & Science Camelback,Charter,6633 W. Camelback Rd. ,Phoenix,Maricopa,85033,N,,43,88.40%,2.30%,90.70%,41.90%,2.30%,100%,34.90%,2.30%,41.90%,88.40%,2.30%,90.70%,88.40%,2.30%,90.70%,88.40%,2.30%,90.70%,88.40%,2.30%,90.70%,2.30%,0.00%,2.30%,
Academy Of Math And Science,Charter,1557 W Prince Rd.,Tucson,Pima,85705,N,,36,97.20%,2.80%,100%,97.20%,2.80%,100%,97.20%,2.80%,100%,97.20%,2.80%,100%,97.20%,2.80%,100%,97.20%,2.80%,100%,97.20%,2.80%,100%,2.80%,0.00%,0.00%,
Academy Of Tucson Middle School,Charter,7310 E. 22nd St. ,Tucson,Pima,85710,N,,75,92.00%,5.30%,97.30%,89.30%,9.30%,98.70%,86.70%,10.70%,97.30%,92.00%,8.00%,100%,92.00%,8.00%,100%,93.30%,6.70%,100%,82.70%,4.00%,100%,12.00%,1.30%,4.00%,
