SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOLTYPE,ENROLLEDCOUNT,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MCMVC,PCT_EXEMPT_MCMVC,PCT_COMPLIANCE_MCMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
91ST PSALM CHRISTIAN SCHOOL,2020 E BASELINE RD,PHOENIX,MARICOPA,85042,NO,,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ABRAHAM LINCOLN TRADITIONAL SCHOOL,10444 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,59,98%,2%,100%,97%,3%,100%,95%,5%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,97%,3%,100%,8%,3%,8%
ACACIA ELEMENTARY SCHOOL,3021 W EVANS DR,PHOENIX,MARICOPA,85053,YES,RN,PUBLIC,134,98%,2%,100%,99%,1%,100%,97%,1%,99%,100%,0%,100%,100%,0%,100%,99%,1%,100%,100%,0%,100%,1%,0%,0%
ACADEMY DEL SOL - HOPE,7102 W VALLEY CREST PL,TUCSON,PIMA,85757,NO,,CHARTER,53,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,2%,0%,2%
ACADEMY OF MATH AND SCIENCE,1557 W PRINCE RD,TUCSON,PIMA,85705,NO,,CHARTER,42,95%,5%,100%,83%,17%,100%,83%,17%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,100%,0%,100%,0%,17%,0%
ACADEMY OF MATH AND SCIENCE CAMELBACK,6633 W CAMELBACK RD,PHOENIX,MARICOPA,85033,NO,,CHARTER,113,100%,0%,100%,87%,3%,91%,87%,3%,91%,100%,0%,100%,100%,0%,100%,99%,1%,100%,100%,0%,100%,3%,0%,0%
ACADEMY OF MATHEMATICS AND SCIENCE SOUTH,3335 W FLOWER ST,PHOENIX,MARICOPA,85017,NO,,CHARTER,56,100%,0%,100%,100%,0%,100%,80%,11%,100%,100%,0%,100%,98%,2%,100%,98%,2%,100%,100%,0%,100%,11%,11%,0%
ACADEMY OF TUCSON MIDDLE SCHOOL,2300 N TANQUE VERDE LOOP RD,TUCSON,PIMA,,NO,,CHARTER,75,99%,1%,100%,85%,5%,100%,80%,5%,99%,99%,1%,100%,97%,3%,100%,99%,1%,100%,97%,3%,100%,5%,0%,1%
ACCEL - METRO CAMPUS (LATCH SCHOOL),10251 N 35TH AVE,PHOENIX,MARICOPA,85051,YES,LPN,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACCELERATED LEARNING LABORATORY,5245 N CAMINO DE OESTE,TUCSON,PIMA,85745,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACCLAIM ACADEMY,7624 W INDIAN SCHOOL RD,PHOENIX,MARICOPA,85033,NO,,CHARTER,44,86%,0%,100%,86%,7%,93%,98%,0%,98%,86%,0%,93%,89%,0%,100%,77%,0%,89%,95%,0%,95%,0%,0%,0%
ACORN MONTESSORI MIDDLE SCHOOL,8456 E LOOS DR,PRESCOTT VALLEY,YAVAPAI,,NO,,CHARTER,45,98%,2%,100%,51%,49%,100%,49%,51%,100%,98%,2%,100%,98%,2%,100%,96%,4%,100%,100%,0%,100%,51%,0%,4%
ADAMS ELEMENTARY SCHOOL,738 S LONGMORE,MESA,MARICOPA,85202,YES,RN,PUBLIC,106,99%,1%,100%,96%,4%,100%,96%,4%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,4%,0%,1%
